"";"Estaciones";"num_lances";"geometry"
"1";"105";233;list(c(-6.79266703898162, -6.79287780427267, -6.79297259972924, -6.79367778542275, -6.7938620211526, -6.79420825132933, -6.79494518630472, -6.79506128318084, -6.79544774341772, -6.79564847938981, -6.79571452738017, -6.81354040768162, -6.81270412955687, -6.7919085635089, -6.79266703898162, 37.1142683574193, 37.1143198227995, 37.1143466216648, 37.1145943608527, 37.1146725751445, 37.114806712831, 37.1151547764083, 37.1152204736345, 37.1154617878043, 37.11559977895, 37.1156398640826, 37.115067000519, 
37.0984096354673, 37.0990774175656, 37.1142683574193))
"2";"108";228;list(c(-6.77136206973684, -6.77326870672982, -6.77353747661174, -6.77370686751263, -6.77459949802822, -6.77485618593175, -6.77541545768607, -6.77566154792407, -6.7763909872946, -6.77647660213035, -6.77717719723794, -6.77751218352656, -6.77777517111685, -6.77826593735627, -6.77851792706655, -6.77914487037331, -6.77976547250701, -6.78014766824376, -6.78037527395568, -6.78046868886644, -6.78060497929233, -6.78098206180256, -6.78160514438544, -6.78165640947443, -6.78167509697073, -6.78241365815404, -6.78254885205556, 
-6.7831934032314, -6.7834199952799, -6.78362829728598, -6.78388948243422, -6.7840086960121, -6.78454731737899, -6.7848019433004, -6.78503433524808, -6.78527462991158, -6.78549902327352, -6.78571613504875, -6.78647489564495, -6.78670446307882, -6.78683565676503, -6.7871974903749, -6.78776136559311, -6.78866248389126, -6.78944662510105, -6.79014842363495, -6.79057203641185, -6.79062932176478, -6.7911202434781, -6.79127183854101, -6.79180905609626, -6.79194735345946, -6.79210975753136, -6.79214396972481, 
-6.79244587721411, -6.79266703898162, -6.7919085635089, -6.77111231380018, -6.77136206973684, 37.1047725503292, 37.1058033234438, 37.1058194306737, 37.1058436298717, 37.1060380404536, 37.1061141372072, 37.1063105359764, 37.1064111315983, 37.1067729039269, 37.1068236356309, 37.106988383724, 37.1070771407742, 37.1071548374613, 37.1073232074667, 37.1074222031577, 37.1077135295436, 37.1080502424686, 37.1082369130428, 37.1083390910154, 37.1083655996614, 37.1084059992951, 37.1085225942948, 37.1087541711165, 
37.1087766293591, 37.1087803120482, 37.1089737040448, 37.1090183021195, 37.1092739823634, 37.1093800777751, 37.1094829469131, 37.1096188216474, 37.1096765713312, 37.1099001764612, 37.1100132278891, 37.1101233231324, 37.110244366013, 37.1103643609007, 37.1104869919383, 37.1109392160083, 37.1109936535859, 37.1110302520394, 37.1111434870352, 37.1113396785323, 37.111742555151, 37.112279918074, 37.1128668958501, 37.1132692396746, 37.1133311994183, 37.1135430826985, 37.1136187794448, 37.113926592388, 37.1140169886871, 
37.1141276576301, 37.1141519563105, 37.1142143529035, 37.1142683574193, 37.0990774175656, 37.0997415627791, 37.1047725503292))
"3";"109";228;list(c(-6.77111231380018, -6.7919085635089, -6.79107750359125, -6.77028578530588, -6.77111231380018, 37.0997415627791, 37.0990774175656, 37.082419588511, 37.0830833349549, 37.0997415627791))
"4";"180";225;list(c(-6.51506097511767, -6.51576425721107, -6.51640344643637, -6.51791093196144, -6.51804705517016, -6.51918472313233, -6.51928360014239, -6.5204032712988, -6.52051914205937, -6.52166941590986, -6.52177942009493, -6.52290609798527, -6.52301628693835, -6.52363187693363, -6.52372277211818, -6.52432576412478, -6.52450939884111, -6.52487812805517, -6.53611419540483, -6.53534264339047, -6.51457918982299, -6.51506097511767, 36.9679276819287, 36.9683440313269, 36.9686967440838, 36.9694675080337, 36.9695395394791, 
36.9701623130863, 36.9702177995086, 36.97086177246, 36.9709303839386, 36.9716314548454, 36.9717003882229, 36.9724261584985, 36.9724991593574, 36.9729185424364, 36.972981935138, 36.9734124180067, 36.9735500414177, 36.9738400896625, 36.9735055533471, 36.9568425965173, 36.9574597227639, 36.9679276819287))
